,0
0,11.370538367726185
1,14.113459698617838
2,13.482440540276828
3,5.843174326595807
4,-0.9431874114600203
5,13.55547559693836
6,-14.196435468754583
7,9.137002437256754
8,7.9691411710434075
9,5.898612359105105
10,13.080323505916539
11,1.508762409075205
12,6.992114082761615
13,12.35380667745716
14,-4.745545153188717
15,-3.06055019735968
16,8.914374726844498
17,13.526298347935784
18,-7.23187146440232
19,2.7341922457639907
20,3.1417618185212848
21,6.699047002484568
22,-0.12204098746377062
23,1.9266219197229644
24,3.4550031552821165
25,-1.5479680131891065
26,10.945304410938174
27,4.510411008563489
28,-2.9434480482910694
29,8.28445545663455
30,8.137916709328403
31,-0.09263924968228247
32,6.399502522399224
33,0.9681070481146302
34,-18.936590940165292
35,13.373537462535262
36,5.122639264067619
37,9.69929755910172
38,-8.908362700444778
39,3.985396206019227
40,4.913070098912894
41,13.436595816313936
42,13.700938798000854
43,-4.172287949459611
44,-11.407110291220393
45,-0.7230674855442466
46,5.073826014182872
47,13.590174497102868
48,6.934872117161014
49,17.41920390322197
