,0
0,38.25624814614615
1,40.72548936160084
2,40.39219878898159
3,68.93808212108524
4,-3.7247105e-316
5,40.24359556294062
6,293.2201227517782
7,38.41714532272889
8,115.9406246725721
9,62.931849001191594
10,44.17338420011069
11,310.6105796264361
12,52.01851456421349
13,35.74201427097139
14,-219.23956783222837
15,-121.71606696087608
16,33.63427128550197
17,40.110365575247336
18,-197.957907778107
19,282.92679797356845
20,99.18533556831153
21,68.05087640851545
22,-3.195515e-317
23,-179.4464297970538
24,-135.6613789392018
25,-131.6914281760236
26,120.26305420038585
27,166.42671162997036
28,-87.45426000384127
29,100.67811038495037
30,121.30339137897934
31,3.6268659e-316
32,188.03446894203037
33,-123.09340955418536
34,-245.4780602551961
35,38.978199124179994
36,60.98699312698378
37,39.16417563049155
38,-201.0341021843219
39,63.070459797227194
40,-69.69638862110284
41,46.69164002480206
42,40.488655884032816
43,-199.47219748829616
44,-113.1088108638027
45,2.09996224e-316
46,134.00968412915742
47,36.42107597792722
48,157.5513337186739
49,-67.81750835934143
